loinc_code,full_name,short_name,component,system,unit,class,category
3948-7,PHENobarbital [Mass/volume] in Serum or Plasma,Phenobarb SerPl-mCnc,PHENobarbital,Ser/Plas,ug/mL,DRUG/TOX,drug_monitoring
4057-6,Tobramycin [Mass/volume] in Serum or Plasma --peak,Tobramycin Peak SerPl-mCnc,Tobramycin^peak,Ser/Plas,mg/L;mcg/mL,DRUG/TOX,drug_monitoring
2019-8,Carbon dioxide [Partial pressure] in Arterial blood,pCO2 BldA,Carbon dioxide,BldA,mm Hg,CHEM,lab_abg
2703-7,Oxygen [Partial pressure] in Arterial blood,pO2 BldA,Oxygen,BldA,mm Hg,CHEM,lab_abg
2744-1,pH of Arterial blood,pH BldA,pH,BldA,pH,CHEM,lab_abg
5902-2,Prothrombin time (PT),Prothrombin time,Coagulation,PPP,s,COAG,lab_coagulation
6301-6,INR in Platelet poor plasma by Coagulation assay,INR PPP,Coagulation,PPP,INR,COAG,lab_coagulation
1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,HCO3 SerPl-sCnc,Bicarbonate,Ser/Plas,mmol/L,CHEM,lab_electrolyte
2823-3,Potassium [Moles/volume] in Serum or Plasma,Potassium SerPl-sCnc,Potassium,Ser/Plas,mmol/L,CHEM,lab_electrolyte
2951-2,Sodium [Moles/volume] in Serum or Plasma,Sodium SerPl-sCnc,Sodium,Ser/Plas,mmol/L,CHEM,lab_electrolyte
26464-8,Leukocytes [#/volume] in Blood,WBC # Bld,Leukocytes,Bld,/uL,HEM/BC,lab_hematology
718-7,Hemoglobin [Mass/volume] in Blood,Hgb Bld-mCnc,Hemoglobin,Bld,g/dL,HEM/BC,lab_hematology
777-3,Platelets [#/volume] in Blood by Automated count,Platelet # Bld Auto,Platelets,Bld,10*9/L,HEM/BC,lab_hematology
1988-5,C reactive protein [Mass/volume] in Serum or Plasma,CRP SerPl-mCnc,C reactive protein,Ser/Plas,mg/L;mcg/mL; mg/dL,CHEM,lab_infection
2276-4,Ferritin [Mass/volume] in Serum or Plasma,Ferritin SerPl-mCnc,Ferritin,Ser/Plas,ug/L;ng/mL,CHEM,lab_infection
33959-8,Procalcitonin [Mass/volume] in Serum or Plasma,Procalcitonin SerPl-mCnc,Procalcitonin,Ser/Plas,ng/mL,CHEM,lab_infection
1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,Bilirub SerPl-mCnc,Bilirubin,Ser/Plas,mg/dL,CHEM,lab_liver
32693-4,Lactate [Moles/volume] in Blood,Lactate Bld-sCnc,Lactate,Bld,mmol/L,CHEM,lab_metabolic
2160-0,Creatinine [Mass/volume] in Serum or Plasma,Creat SerPl-mCnc,Creatinine,Ser/Plas,mg/dL,CHEM,lab_renal
2161-8,Creatinine [Mass/volume] in Urine,Creat Ur-mCnc,Creatinine,Urine,g/L; mcg/mL; mg/dL; mg/mL,CHEM,lab_renal
3084-1,Urate [Mass/volume] in Serum or Plasma,Urate SerPl-mCnc,Urate,Ser/Plas,mg/dL,CHEM,lab_renal
59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,SaO2 % BldA PulseOx,Oxygen saturation,BldA,%,PULM,vital_sign
8310-5,Body temperature,Body temperature,Body temperature,^Patient,deg C,BDYTMP.ATOM,vital_sign
8462-4,Diastolic blood pressure,BP dias,Intravascular diastolic,Arterial system,mm Hg,BP.ATOM,vital_sign
8480-6,Systolic blood pressure,BP sys,Intravascular systolic,Arterial system,mm Hg,BP.ATOM,vital_sign
8867-4,Heart rate,Heart rate,Heart rate,XXX,{beats}/min,HRTRATE.ATOM,vital_sign
9267-6,Glasgow coma score eye opening,GCS eye,Glasgow coma score.eye opening,^Patient,,FUNCTION,vital_sign
9279-1,Respiratory rate,Resp rate,Breaths,Respiratory system,{breaths}/min,RESP.ATOM,vital_sign
